name,hex,rgb,hsl
Orchid,DA70D6,"218, 112, 214","302, 59, 65"
Fuchsia,FF00FF,"255, 0, 255","300, 100, 50"
Magenta,FF00FF,"255, 0, 255","300, 100, 50"
MediumOrchid,BA55D3,"186, 85, 211","288, 59, 58"
MediumPurple,9370DB,"147, 112, 219","260, 60, 65"
RebeccaPurple,663399,"102, 51, 153","270, 50, 40"
BlueViolet,8A2BE2,"138, 43, 226","271, 76, 53"
DarkViolet,9400D3,"148, 0, 211","282, 100, 41"
DarkOrchid,9932CC,"153, 50, 204","280, 61, 50"
DarkMagenta,8B008B,"139, 0, 139","300, 100, 27"
Purple,800080,"128, 0, 128","300, 100, 25"
Indigo,4B0082,"75, 0, 130","275, 100, 25"
SlateBlue,6A5ACD,"106, 90, 205","248, 53, 58"
DarkSlateBlue,483D8B,"72, 61, 139","248, 39, 39"
MediumSlateBlue,7B68EE,"123, 104, 238","249, 80, 67"
GreenYellow,ADFF2F,"173, 255, 47","84, 100, 59"
Chartreuse,7FFF00,"127, 255, 0","90, 100, 50"
LawnGreen,7CFC00,"124, 252, 0","90, 100, 49"
Lime,00FF00,"0, 255, 0","120, 100, 50"
LimeGreen,32CD32,"50, 205, 50","120, 61, 50"
PaleGreen,98FB98,"152, 251, 152","120, 93, 79"
LightGreen,90EE90,"144, 238, 144","120, 73, 75"
MediumSpringGreen,00FA9A,"0, 250, 154","157, 100, 49"
SpringGreen,00FF7F,"0, 255, 127","150, 100, 50"
MediumSeaGreen,3CB371,"60, 179, 113","147, 50, 47"
SeaGreen,2E8B57,"46, 139, 87","146, 50, 36"
ForestGreen,228B22,"34, 139, 34","120, 61, 34"
Green,008000,"0, 128, 0","120, 100, 25"
DarkGreen,006400,"0, 100, 0","120, 100, 20"
YellowGreen,9ACD32,"154, 205, 50","80, 61, 50"
OliveDrab,6B8E23,"107, 142, 35","80, 60, 35"
Olive,808000,"128, 128, 0","60, 100, 25"
DarkOliveGreen,556B2F,"85, 107, 47","82, 39, 30"
MediumAquamarine,66CDAA,"102, 205, 170","160, 51, 60"
DarkSeaGreen,8FBC8B,"143, 188, 139","115, 27, 64"
LightSeaGreen,20B2AA,"32, 178, 170","177, 70, 41"
DarkCyan,008B8B,"0, 139, 139","180, 100, 27"
Teal,008080,"0, 128, 128","180, 100, 25"
Aqua,00FFFF,"0, 255, 255","180, 100, 50"
Cyan,00FFFF,"0, 255, 255","180, 100, 50"
LightCyan,E0FFFF,"224, 255, 255","180, 100, 94"
PaleTurquoise,AFEEEE,"175, 238, 238","180, 65, 81"
Aquamarine,7FFFD4,"127, 255, 212","160, 100, 75"
Turquoise,40E0D0,"64, 224, 208","174, 72, 56"
MediumTurquoise,48D1CC,"72, 209, 204","178, 60, 55"
DarkTurquoise,00CED1,"0, 206, 209","181, 100, 41"
CadetBlue,5F9EA0,"95, 158, 160","182, 25, 50"
SteelBlue,4682B4,"70, 130, 180","207, 44, 49"
LightSteelBlue,B0C4DE,"176, 196, 222","214, 41, 78"
PowderBlue,B0E0E6,"176, 224, 230","187, 52, 80"
LightBlue,ADD8E6,"173, 216, 230","195, 53, 79"
SkyBlue,87CEEB,"135, 206, 235","197, 71, 73"
LightSkyBlue,87CEFA,"135, 206, 250","203, 92, 75"
DeepSkyBlue,00BFFF,"0, 191, 255","195, 100, 50"
DodgerBlue,1E90FF,"30, 144, 255","210, 100, 56"
CornflowerBlue,6495ED,"100, 149, 237","219, 79, 66"
MediumSlateBlue,7B68EE,"123, 104, 238","249, 80, 67"
RoyalBlue,4169E1,"65, 105, 225","225, 73, 57"
Blue,0000FF,"0, 0, 255","240, 100, 50"
MediumBlue,0000CD,"0, 0, 205","240, 100, 40"
DarkBlue,00008B,"0, 0, 139","240, 100, 27"
Navy,000080,"0, 0, 128","240, 100, 25"
MidnightBlue,191970,"25, 25, 112","240, 64, 27"
Cornsilk,FFF8DC,"255, 248, 220","48, 100, 93"
BlanchedAlmond,FFEBCD,"255, 235, 205","36, 100, 90"
Bisque,FFE4C4,"255, 228, 196","33, 100, 88"
NavajoWhite,FFDEAD,"255, 222, 173","36, 100, 84"
Wheat,F5DEB3,"245, 222, 179","39, 77, 83"
BurlyWood,DEB887,"222, 184, 135","34, 57, 70"
Tan,D2B48C,"210, 180, 140","34, 44, 69"
RosyBrown,BC8F8F,"188, 143, 143","0, 25, 65"
SandyBrown,F4A460,"244, 164, 96","28, 87, 67"
Goldenrod,DAA520,"218, 165, 32","43, 74, 49"
DarkGoldenrod,B8860B,"184, 134, 11","43, 89, 38"
Peru,CD853F,"205, 133, 63","30, 59, 53"
Chocolate,D2691E,"210, 105, 30","25, 75, 47"
SaddleBrown,8B4513,"139, 69, 19","25, 76, 31"
Sienna,A0522D,"160, 82, 45","19, 56, 40"
Brown,A52A2A,"165, 42, 42","0, 59, 41"
Maroon,800000,"128, 0, 0","0, 100, 25"
White,FFFFFF,"255, 255, 255","0, 0, 100"
Snow,FFFAFA,"255, 250, 250","0, 100, 99"
HoneyDew,F0FFF0,"240, 255, 240","120, 100, 97"
MintCream,F5FFFA,"245, 255, 250","150, 100, 98"
Azure,F0FFFF,"240, 255, 255","180, 100, 97"
AliceBlue,F0F8FF,"240, 248, 255","208, 100, 97"
GhostWhite,F8F8FF,"248, 248, 255","240, 100, 99"
WhiteSmoke,F5F5F5,"245, 245, 245","0, 0, 96"
SeaShell,FFF5EE,"255, 245, 238","25, 100, 97"
Beige,F5F5DC,"245, 245, 220","60, 56, 91"
OldLace,FDF5E6,"253, 245, 230","39, 85, 95"
FloralWhite,FFFAF0,"255, 250, 240","40, 100, 97"
Ivory,FFFFF0,"255, 255, 240","60, 100, 97"
AntiqueWhite,FAEBD7,"250, 235, 215","34, 78, 91"
Linen,FAF0E6,"250, 240, 230","30, 67, 94"
LavenderBlush,FFF0F5,"255, 240, 245","340, 100, 97"
MistyRose,FFE4E1,"255, 228, 225","6, 100, 94"
Gainsboro,DCDCDC,"220, 220, 220","0, 0, 86"
LightGray,D3D3D3,"211, 211, 211","0, 0, 83"
Silver,C0C0C0,"192, 192, 192","0, 0, 75"
DarkGray,A9A9A9,"169, 169, 169","0, 0, 66"
Gray,808080,"128, 128, 128","0, 0, 50"
DimGray,696969,"105, 105, 105","0, 0, 41"
LightSlateGray,778899,"119, 136, 153","210, 14, 53"
SlateGray,708090,"112, 128, 144","210, 13, 50"
DarkSlateGray,2F4F4F,"47, 79, 79","180, 25, 25"
Black,000000,"0, 0, 0","0, 0, 0"

